Date,Price,Open,High,Low,Vol.,Change %
14-Jun-21,"40,529.40","39,024.10","40,970.40","38,769.90",157.35K,3.86%
15-Jun-21,"40,156.10","40,522.50","41,318.00","39,589.90",117.55K,-0.92%
16-Jun-21,"38,336.00","40,148.10","40,494.40","38,156.40",123.52K,-4.53%
17-Jun-21,"38,052.00","38,337.80","39,529.90","37,425.30",109.58K,-0.74%
18-Jun-21,"35,749.40","38,045.50","38,166.00","35,198.50",102.84K,-6.05%
19-Jun-21,"35,513.40","35,770.00","36,357.30","34,845.50",105.46K,-0.66%
20-Jun-21,"35,595.80","35,510.90","36,097.90","33,378.00",137.48K,0.23%
21-Jun-21,"31,692.00","35,597.90","35,708.40","31,284.10",256.87K,-10.97%
22-Jun-21,"32,496.40","31,682.70","33,272.50","28,901.80",309.65K,2.54%
23-Jun-21,"33,674.30","32,498.30","34,784.30","31,736.50",173.34K,3.62%
24-Jun-21,"34,665.80","33,678.10","35,249.90","32,356.70",119.25K,2.94%
25-Jun-21,"31,594.00","34,660.50","35,490.90","31,337.90",193.43K,-8.86%
26-Jun-21,"32,243.40","31,592.10","32,643.00","30,206.90",156.67K,2.06%
27-Jun-21,"34,678.50","32,247.10","34,685.50","32,041.70",148.80K,7.55%
28-Jun-21,"34,475.90","34,682.20","35,231.20","33,944.90",112.00K,-0.58%
29-Jun-21,"35,834.70","34,477.30","36,590.30","34,247.60",97.27K,3.94%
30-Jun-21,"35,026.90","35,832.60","36,089.50","34,126.60",107.07K,-2.25%
1-Jul-21,"33,543.60","35,030.70","35,032.70","32,839.20",27.41K,-4.23%
2-Jul-21,"33,813.40","33,542.20","33,925.90","32,734.60",78.93K,0.80%
3-Jul-21,"34,742.80","33,814.20","34,909.80","33,363.30",55.69K,2.75%
4-Jul-21,"35,298.20","34,742.80","35,957.60","34,740.10",56.13K,1.60%
5-Jul-21,"33,687.80","35,297.00","35,300.50","33,164.10",88.36K,-4.56%
6-Jul-21,"34,225.60","33,688.50","35,062.00","33,581.70",83.63K,1.60%
7-Jul-21,"33,867.80","34,228.70","35,036.60","33,801.30",72.03K,-1.05%
8-Jul-21,"32,866.30","33,859.40","33,923.20","32,146.90",108.09K,-2.96%
9-Jul-21,"33,797.40","32,866.30","34,079.20","32,367.00",67.14K,2.83%
10-Jul-21,"33,510.60","33,797.70","34,221.00","33,056.80",50.94K,-0.85%
11-Jul-21,"34,227.70","33,510.80","34,580.60","33,319.80",35.72K,2.14%
12-Jul-21,"33,113.00","34,228.30","34,598.00","32,662.80",63.24K,-3.26%
13-Jul-21,"32,728.10","33,106.10","33,307.70","32,259.50",60.04K,-1.16%
14-Jul-21,"32,820.70","32,727.80","33,051.90","31,611.20",69.56K,0.28%
15-Jul-21,"31,840.50","32,820.50","33,157.00","31,175.80",76.95K,-2.99%
16-Jul-21,"31,394.00","31,842.30","32,239.80","31,062.20",70.48K,-1.40%
17-Jul-21,"31,518.60","31,384.40","31,914.80","31,207.80",58.06K,0.40%
18-Jul-21,"31,785.40","31,517.90","32,408.20","31,220.60",57.01K,0.85%
19-Jul-21,"30,837.20","31,782.90","31,887.00","30,478.20",77.48K,-2.98%
20-Jul-21,"29,793.80","30,835.40","31,040.80","29,310.20",97.46K,-3.38%
21-Jul-21,"32,131.40","29,794.70","32,794.60","29,519.30",118.34K,7.85%
22-Jul-21,"32,298.90","32,131.70","32,585.40","31,729.40",64.87K,0.52%
23-Jul-21,"33,603.30","32,297.90","33,605.60","32,041.10",66.15K,4.04%
24-Jul-21,"33,824.80","33,600.50","33,955.00","33,412.90",67.14K,0.66%
25-Jul-21,"35,391.10","34,392.50","35,391.10","33,881.30",65.10K,4.63%
26-Jul-21,"38,422.30","35,392.30","39,639.90","35,236.70",124.21K,8.56%
